Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
Apple MacBook Air Late 2020 Apple M1 Chip 13.3 Inch Retina Display Space Gray MacBook MacBook #MGN63LL/A / MGN63ZP/A / MGN63PA/A / MGN63X/A,"122,060",Apple Apple M1 Not Applicable Apple M1 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel Maximum Brightness: 400 cd/m2, Color Gamut: 100% DCI-P3 No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,256GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 7-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304.1 x 212.4 x 4.1-16.1mm 1.29Kg MacBook Air, 30W USB-C Power Adapter, USB-C Charge Cable (2m) "
Apple MacBook Air Late 2020 Apple M1 Chip 13.3 Inch Retina Display Touch ID Gold MacBook #MGND3LL/A / MGND3ZP/A / MGND3PA/A,"122,060",Apple Apple M1 Not Applicable Apple M1 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel Maximum Brightness: 400 cd/m2, Color Gamut: 100% DCI-P3 No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,256GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 7-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Gold 304.1 x 212.4 x 4.1-16.1mm 1.29Kg MacBook Air, 30W USB-C Power Adapter, USB-C Charge Cable (2m) "
Apple MacBook Air (Late 2020) Apple M1 Chip 13.3 Inch Retina Display Space Gray MacBook #Z124000AL,"168,720",Apple Apple M1 Not Applicable Apple M1 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel Panel Type: IPS-Type LCD, Aspect Ratio: 16:10, Finish: Glossy, Maximum Brightness: 400 cd/m2, Color Gamut: 100% DCI-P3 No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,256GB No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 7-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304.1 x 212.4 x 4.1-16.1mm 1.29 Kg MacBook Air, 30W USB-C Power Adapter, USB-C Charge Cable (2m) "
Apple MacBook Air (2022) Apple M2 Chip 512GB SSD 13.6 Inch Liquid Retina Display Space Gray MacBook #MLXX3LL/A / MLXX3ZP/A,"187,710",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.6 Liquid Retina QHD 2560x1664 Glossy No 60 Hz Slim Bazel IPS technology, 2560-by-1664 native resolution at 224 pixels per inch with support for 1 billion colors, 500 nits brightness, True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304 x 214.9 x 11.2mm 1.24 kg Apple 13.6 inch MacBook Air (M2, Space Gray) 35W Dual USB Type-C Port Compact Power Adapter USB Type-C to MagSafe 3 Cable (6.6') "
Apple MacBook Air (2022) Apple M2 Chip 13.6 Inch Liquid Retina Display Silver MacBook #MLY03LL/A / MLY03ZP/A,"187,710",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.6 Liquid Retina QHD 2560x1664 Glossy No 60 Hz Slim Bazel IPS technology, 2560-by-1664 native resolution at 224 pixels per inch with support for 1 billion colors, 500 nits brightness, True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 304 x 214.9 x 11.2mm 1.24 kg Apple 13.6 inch MacBook Air (M2, Space Gray) 35W Dual USB Type-C Port Compact Power Adapter USB Type-C to MagSafe 3 Cable (6.6') "
Apple MacBook Pro (2022) Apple M2 13.3 Inch Retina Display Space Gray Laptop,"199,100",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bazel IPS technology, 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 500 nits brightness, Wide color (P3), True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304.1 x 212.4 x 15.6mm 1.4 kg Apple 13.3 inch MacBook Pro (M2, Space Gray) 67W USB Type-C Power Adapter "
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Silver Laptop #MNEQ3LL/A / MNEQ3ZP/A,"199,100",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel IPS technology, 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 500 nits brightness, Wide color (P3), True Tone technology Not Applicable Not Applicable Not Applicable ",8GB 1 x 8GB Non-Removable Not Specified Not Specified None No 8GB No No ,512GB SSD Not Applicable Not Applicable No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 304.1 x 212.4 x 15.6mm 1.4 kg Apple 13.3 inch MacBook Pro (M2, Silver) 67W USB Type-C Power Adapter "
"Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Space Gray Laptop #MNEJ3LL/A, MNEJ3ZP/A","199,100",Apple Apple M2 Not Applicable Apple M2 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Specified ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bazel IPS technology, 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 500 nits brightness, Wide color (P3), True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",8GB 1 x 8GB Non-Removable Not Specified Not Specified No No 8GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 304.1 x 212.4 x 15.6mm 1.4 kg Apple 13.3 inch MacBook Pro (M2, Space Gray) 67W USB Type-C Power Adapter "
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Silver Laptop #Z16T0006K,"234,360",Apple Apple M2 Not Applicable Apple M2 Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Specified ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bazel Brightness: 500 nits, Pixels per inch (PPI): 227, Wide color (P3), True Tone technology No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,256GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 10-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Silver 15.6 x 304.1 x 212.4mm 1.4 Kg 1 x 13-inch MacBook Pro, 1 x 67W USB-C Power Adapter, 1 x USB-C Charge Cable (2 m) "
Apple MacBook Pro Late 2021 Apple M1 Pro 512GB SSD 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #MKGP3LL/A / MKGP3ZP/A / MKGP3PA/A / MKGP3X/A,"236,530",Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Finish: Glossy with Anti-Reflective Coating, Maximum Brightness: 500 cd/m2 (Sustained in SDR Mode) 1000 cd/m2 (Sustained in HDR Mode) 1600 cd/m2 (Peak in HDR Mode), Contrast Ratio: 1,000,000:1, Variable Refresh Technology: Apple ProMotion, No Secondary Screen No Secondary Screen No Secondary Screen ",16GB 1 x 16GB Non-Removable Not Specified Not Specified No No 16GB No No ,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 14-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ","Aluminum No Space Gray 313 x 221 x 16mm 1.6 Kg MacBook Pro, 67W USB-C Power Adapter,USB-C to MagSafe 3 Cable (2 m) "
