Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
ASUS X515MA 15.6-inch Full HD Display Celeron N4020 4GB Ram 1TB HDD Laptop,"42,500৳","Intel Celeron N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz)","15.6-inch,FHD (1920 x 1080) 16:9, Anti-glare display, 200nits, NTSC: 45%, Screen-to-body ratio: 83 ％","4GB 2400MHz DDR4 SDRAM
(Extra ram slot available, up to 12 GB)",1TB HDD ( M.2 Slot available ),Intel UHD Graphics 605,Windows 10,1.80 kg (3.97 lbs)
ASUS VivoBook 15 X515EA 15.6 inch Full HD Display Core i5 11th Gen 8GB RAM 512GB SSD Laptop,"78,000৳","Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)","15.6-inch, FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %","8GB DDR4 3200MHz SDRAM (4GB Onboard) 
Extra RAM Slot",512GB PCI-E G3 SSD (Extra HDD Slot Available),Intel Iris Xe Graphics,Windows 10,1.80 kg (3.97 lbs)
ASUS TUF F15 FX506HE 15.6 inch 144Hz Full HD Display i5 11th Gen 8GB RAM 512GB SSD Gaming Laptop with RTX 3050 Ti 4GB Graphics,"131,500৳","Intel Core i5-11400H Processor (2.7GHz up to 4.5GHz, 6 core, 12M Cache)","15.6-inch,FHD (1920 x 1080) 16:9,anti-glare display,sRGB:62.5%,Adobe:47.34%,DCI-P3:Refresh Rate:144Hz,Value IPS-level",8GB DDR4 SO-DIMM 3200MHz RAM,512GB M.2 NVMe PCIe 3.0 SSD,NVIDIA GeForce RTX 3050Ti 4GB GDDR6,"Windows 10, 64 -bit",2.30 Kg (5.07 lbs)
Asus ProArt Studio book H5600QM 16 inch 4K OLED Display Ryzen 9 5900HX 32GB RAM 1TB SSD Gaming Laptop with 3060 6GB Graphics,"302,000৳",Aluminum,"Intergraded GPU:	AMD Radeon Vega 7 Graphics
Graphics: NVIDIA GeForce RTX 3060 Laptop GPU
VRAM:6GB GDDR6","AMD Ryzen 9 5900HX Mobile Processor (8-core/16-thread, 20MB cache, up to 4.6 GHz max boost)",32GB DDR4 3200 MHZ SO-DIMM,1TB M.2 NVMe PCIe 3.0 Performance SSD,"90WHrs, 4S1P, 4-cell Li-ion",US MIL-STD 810H military-grade standard
Asus ZenBook 14 UX425JA 14 inch Full HD LED Backlit Display Core i7 10th Gen 8GB RAM 512GB SSD Laptop,"108,000৳","Intel Core i7-1065G7 Processor (8M Cache, 1.30 GHz up to 3.90 GHz)","14.0-inch, LCD, FHD (1920 x 1080) 16:9, IPS-level Panel, Anti-glare display, LED Backlit, 300nits, sRGB: 100%, Screen-to-body ratio: 90%",8GB LPDDR4X 3200MHz RAM,512GB PCIe NVMe 3.0 x2 M.2 SSD,Intel UHD Graphics,Windows 10,1.17 kg
ASUS X515MA 15.6-inch Full HD Display Celeron N4020 4GB Ram 1TB HDD Laptop (Transparent Silver),"42,500৳","Intel Celeron N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz)","15.6-inch,FHD (1920 x 1080) 16:9, Anti-glare display, 200nits, NTSC: 45%, Screen-to-body ratio: 83 ％","4GB 2400MHz DDR4 SDRAM
(Extra ram slot available, up to 12 GB)",1TB HDD ( M.2 Slot available ),Intel UHD Graphics 605,Windows 10,1.80 kg (3.97 lbs)
Asus VivoBook 15 X1500EA 15.6 Full HD Display Core i3 11th Gen 8GB RAM 512GB SSD Laptop,"63,000৳","Intel Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)","15.6-inch, FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %",8GB DDR4 3200MHz SDRAM (Extra Ram Slot Available),512GB M.2 NVMe PCIe 3.0 SSD,Intel UHD Graphics,Windows 11,1.80 kg (3.97 lbs)
Asus VivoBook 15 K513EA OLED 15.6 Inch Full HD Display Core i3 11th Gen 8GB RAM 512GB SSD Laptop (Hearty Gold),"69,500৳","Intel Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)","15.6-inch, OLED FHD (1920 x 1080) 16:9 aspect ratio, 
0.2ms response time, 
400nits, 600nits peak brightness, 
100% DCI-P3 color gamut, 
PANTONE Validated, 
Glossy display, 
Screen-to-body ratio: 85 ％ ","8GB 3200MHz DDR4, 
Memory Max Up to:16GB",512GB M.2 NVMe PCIe 3.0 SSD,Intel UHD Graphics,Wi-Fi 6(802.11ax),1.80 kg (3.97 lbs)
Asus VivoBook 14 X415FA 14 inch Full HD Display Core i3 10th Gen 4GB RAM 256GB SSD Laptop,"52,500৳","Intel Core i3 10110U Processor (4MB Cache, 2.1Ghz up to 4.1Ghz)","14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, LED Backlit, 250nits, 45% NTSC , Screen-to-body ratio: 84 ％",4GB DDR4 RAM (Extra Ram Slot Available For Expand),256GB PCIEG3 SSD,Intel UHD Graphics,Windows 11 Home,1.60 kg
Asus VivoBook 14 X415FA 14 inch Full HD Display Core i3 10th Gen 4GB RAM 1TB HDD Laptop,"49,500৳","Intel Core i3 10110U Processor (4MB Cache, 2.1Ghz up to 4.1Ghz)","14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, LED Backlit, 250nits, 45% NTSC , Screen-to-body ratio: 84 ％",4GB DDR4 RAM (Extra Ram Slot Available For Expand),1TB SATA HDD (Extra M.2 Nvme Slot Available For SSD),Intel UHD Graphics,Windows 11 Home,1.60 kg
Asus VivoBook 14 X1400EA 14 Full HD Display Core i3 11th Gen 8GB RAM 512GB SSD Laptop,"63,000৳","Intel Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)","14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, LED Backlit, 250nits, 45% NTSC color gamut for non-OLED, Anti-glare display, Screen-to-body ratio: 82 ％",8GB DDR4 3200MHz SDRAM (Extra Ram Slot Available),512GB M.2 NVMe PCIe 3.0 SSD,Intel UHD Graphics,Windows 11,1.55 kg (3.42 lbs)
ASUS TUF Dash F15 FX516PE 15.6 inch Full HD 144Hz Display Core i5 11th Gen 8GB RAM 512GB SSD Gaming Laptop with 3050TI 4GB Graphics (Eclipse Grey),"134,500৳","Intel Core i5-11300H Processor (8M Cache, 3.10 GHz up to 4.40 GHz, with IPU)","15.6-inch,FHD (1920 x 1080) 16:9,anti-glare display,sRGB:62.5%,Adobe:47.34%,Refresh Rate:144Hz,Value IPS-level","8GB DDR4 3200MHz RAM (Extra Ram Slot Available, Up To 32GB)","512GB M.2 NVMe PCIe 3.0 SSD (Extra M.2 PCIE NVME SSD Slot Available, Up To 2TB)","NVIDIA GeForce RTX 3050 Ti Laptop GPU, Up to 1585MHz at 60W (75W with Dynamic Boost),4GB GDDR6 Up to 1585MHz at 60W (75W with Dynamic Boost)",Windows 10,Only 2.00 Kg (4.41 lbs)
Asus ROG Zephyrus G15 GA503RM 15.6 inch WQHD 240Hz Display Ryzen 7 6800HS 16GB DDR5 RAM 1TB SSD Gaming Laptop with RTX 3060 6GB Graphics,"265,000৳","AMD Ryzen 7 6800HS Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)","15.6-inch, 240Hz, WQHD (2560 x 1440) 16:9, 3ms, 300nits Display (Pantone Validated)","16GB DDR5-4800 SO-DIMM Memory
(Support dual channel memory)",1TB PCIe 4.0 NVMe M.2 SSD,"NVIDIA GeForce RTX 3060 Laptop GPU, 6GB GDDR6
ROG Boost: 1475MHz* at 120W (1425MHz Boost Clock+50MHz OC, 100W+20W Dynamic Boost)",Windows 11 Home,"ROG backpack 
ROG Delta headset
ROG Chakram Core mouse P511"
Asus ROG Zephyrus G14 GA402RJ 14 inch WQXGA 120Hz Display Ryzen 9 6900HS 16GB DDR5 RAM 1TB SSD Gaming Laptop with RX 6700S 8GB Graphics,"260,000৳","AMD Ryzen 9 6900HS Mobile Processor(8-core/16-thread, 16MB cache, up to 4.9 GHz max boost)","ROG Nebula Display 
14-inch WQXGA (2560 x 1600) 16:10 
anti-glare display 
DCI-P3:100% 
Refresh Rate:120Hz 
Response Time:3ms 
IPS-level 
Adaptive-Sync 
Pantone Validated 
MUX Switch 
Dolby vision ","16GB DDR5-4800 (8GB on board )
SO-DIMM 
Max Capacity : 24GB 
Support dual channel memory",1TB M.2 NVMe PCIe 4.0 SSD,"AMD Radeon RX 6800S 
ROG Boost: up to 105W(SmartShift) 
8GB GDDR6",Windows 11 Home,"ROG Zephyrus G14 Sleeve (2022) 
ROG Chakram Core mouse P511 
USB-A to RJ45 gigabit ethernet adapter"
Asus ROG Strix G15 G513RM 15.6 inch Full HD 300Hz Display Ryzen 7 6800H 16GB RAM 512GB SSD Gaming Laptop with RTX 3060 6GB Graphics,"218,000৳","AMD Ryzen 7 6800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)","Panel Size:15.6-inch 
Resolution: FHD (1920 x 1080) 16:9 
Refresh Rate:300Hz 
Response Time (G2G):	3ms 
Viewing Angle:170 
Panel Tech: IPS-level 
Brightness:300nits 
Contrast:1:1000 
NTSC %:	72% 
SRGB %:	100.00% 
Adobe %:75.35% 
Anti glare: anti-glare display 
Adaptive-Sync technology:	Adaptive-Sync ",16GB DDR5 4800MHz RAM (8*8) Expandable Ram Slots,512GB M.2 NVMe PCIe 4.0 SSD (Extra M.2 Nvme Slot Available For SSD),"Graphic:	NVIDIA GeForce RTX 3060 Laptop GPU 
Graphic Wattage: ROG Boost: 1752MHz* at 140W (1702MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost) 
Graphic Memory:	6GB GDDR6",Windows 11 Home,2.30 Kg
